gen,nevals,avg,max,std
0,143,-0.3478658368683279,60.5895470864043,12.362388516721031
1,143,14.355314646474021,84.11068669851426,24.419395377044623
2,143,28.408084230784493,82.16660091460791,28.175216531395392
3,143,42.75351820749329,80.87937022547294,25.299903536452018
4,143,43.48849469324736,83.81246529089353,26.30868713938932
5,143,48.955126532039664,84.21968318615878,23.42599508857386
6,143,57.24308952455762,87.1576259360546,20.531726222775387
7,143,56.60971761171383,81.04774549318516,21.817567376168103
8,143,60.17965655886798,89.4858532660653,19.24225860620708
9,143,57.364669667487554,87.03435029586278,20.528604359445335
10,143,56.50730023433134,82.16819496546795,21.035565268901596
11,143,55.21391464840127,87.19227310438396,25.514190463657844
12,143,52.68625470080725,89.41911634800185,26.819171753470094
13,143,56.31033045401694,87.97373233380529,24.240461914091856
14,143,53.5819803077803,87.46073520853345,27.35645739216127
