gen,nevals,avg,max,std
0,125,6.244154027750815,79.48615016742617,21.904626188311408
1,125,19.85704363903365,81.14458733861605,27.65009543186799
2,125,37.34930803634012,83.60772497856404,30.141938547646205
3,125,45.07483684624198,80.39666380935819,27.095271008647224
4,125,52.46406764551999,81.34207239918562,24.73695085524614
5,125,59.33800012446952,83.94982901779152,21.04812039333397
6,125,56.89062943944878,80.67816551212589,22.156090159128254
7,125,56.65831540872852,81.53359904315536,21.84037321282559
8,125,57.47378899138869,80.87937022547294,20.07192034561433
9,125,63.64637893374989,80.81160790834667,15.290747561892568
10,125,64.67386314900747,82.26261676251282,17.328220455061533
11,125,67.75800021855508,81.13568535749484,10.985063557164393
12,125,66.59332687676154,83.26535289947623,13.986235409786799
13,125,66.43121029167884,80.87937022547294,8.591064687489368
14,125,66.42773559651313,81.5003278597139,11.96628591875582
